stco,year,whc,sand,silt,clay,om,kwfactor,kffactor,spH,slope,tfactor,ppt1,ppt2
1001,1992,24.783,59.681,20.048,20.27,111.807,0.223,0.226,5.14,51.036,4.951,585.222,625.86
1001,2001,24.447,60.107,19.894,19.999,112.419,0.222,0.225,5.131,50.698,4.954,902.392,736.287
1001,2006,24.533,60.072,19.913,20.015,112.564,0.222,0.225,5.131,51.081,4.957,467.498,519.14
1001,2011,24.538,60.039,19.924,20.037,112.607,0.222,0.225,5.132,51.096,4.958,626.05,528.497
1003,1992,23.539,59.092,21.805,19.103,185.668,0.25,0.256,4.94,106.221,4.937,720.288,787.363
1003,2001,23.722,58.16,22.308,19.532,156.788,0.254,0.26,4.939,107.434,4.947,997.002,958.095
1003,2006,23.732,58.124,22.351,19.525,153.544,0.254,0.26,4.94,107.998,4.949,539.306,717.374
1003,2011,23.739,58.105,22.368,19.528,153.854,0.254,0.261,4.941,108.041,4.949,648.38,816.724
1005,1992,21.484,61.744,16.41,21.846,88.43,0.212,0.212,5.127,65.98,4.926,674.417,641.826
1005,2001,21.65,61.325,16.555,22.12,90.245,0.213,0.213,5.115,66.481,4.923,875.714,658.118
1005,2006,21.622,61.445,16.477,22.078,90.357,0.213,0.213,5.12,66.793,4.923,417.773,532.07
1005,2011,21.602,61.471,16.472,22.057,90.338,0.213,0.213,5.121,66.747,4.923,477.161,461.356
1007,1992,25.891,50.708,24.242,25.05,71.573,0.245,0.257,4.957,41.041,4.861,574.612,691.106
1007,2001,25.981,50.833,24.488,24.679,75.528,0.245,0.258,4.962,40.778,4.856,814.015,816.461
1007,2006,26.023,50.888,24.533,24.579,75.855,0.245,0.258,4.966,41.025,4.855,519.604,665.161
1007,2011,26.014,50.877,24.554,24.569,75.84,0.244,0.258,4.968,41.091,4.854,641.649,576.829
1009,1992,18.283,37.501,33.405,29.095,79.915,0.245,0.296,4.915,32.147,3.175,670.554,767.01
1009,2001,17.891,37.317,33.594,29.089,79.336,0.242,0.297,4.916,31.225,3.106,836.583,877.018
1009,2006,17.894,37.329,33.594,29.077,79.359,0.242,0.297,4.917,31.234,3.107,603.719,799.732
1009,2011,17.898,37.346,33.577,29.076,79.351,0.242,0.297,4.917,31.244,3.107,822.203,927.877
1011,1992,22.587,39.391,25.923,34.686,120.903,0.23,0.233,5.53,46.056,4.989,666.059,655.551
1011,2001,22.814,36.824,26.712,36.464,121.893,0.233,0.235,5.633,45.501,4.99,902.658,652.643
1011,2006,22.877,36.897,26.753,36.35,123.314,0.233,0.235,5.658,45.689,4.99,437.757,538.155
1011,2011,22.869,37.002,26.722,36.276,123.351,0.233,0.235,5.655,45.681,4.99,520.015,472.748
1013,1992,24.716,50.836,21.176,27.988,71.662,0.22,0.22,5.031,63.868,4.89,671.483,740.964
1013,2001,23.922,49.976,21.381,28.643,70.934,0.223,0.223,4.964,61.157,4.826,1009.831,796.011
1013,2006,24.416,50.385,21.277,28.337,71.918,0.221,0.221,5.009,63.033,4.854,460.315,599.909
1013,2011,24.467,50.491,21.233,28.276,71.824,0.221,0.221,5.015,63.283,4.857,634.645,608.908
1015,1992,23.196,25.653,40.241,34.105,96.979,0.252,0.31,5.208,39.453,4.434,669.562,740.636
1015,2001,22.43,25.902,40.364,33.734,94.514,0.248,0.312,5.207,38.979,4.348,800.773,752.816
1015,2006,22.506,25.832,40.413,33.755,94.782,0.249,0.313,5.207,39.08,4.361,551.293,684.481
1015,2011,22.523,25.844,40.394,33.762,94.845,0.249,0.312,5.208,39.086,4.363,753.981,679.95
1017,1992,21.083,44.6,22.409,32.991,75.553,0.212,0.223,5.349,38.281,4.936,625.413,672.093
1017,2001,21.124,44.881,22.707,32.412,79.715,0.216,0.227,5.353,37.498,4.912,915.757,693.398
1017,2006,21.168,44.864,22.711,32.425,79.987,0.215,0.226,5.355,37.572,4.914,491.378,537.443
1017,2011,21.178,44.882,22.701,32.417,79.878,0.215,0.226,5.354,37.582,4.914,502.042,482.428
1019,1992,22.461,31.448,36.734,31.818,88.252,0.264,0.303,4.97,38.979,4.166,696.719,782.772
1019,2001,22.114,30.893,37.246,31.861,88.806,0.258,0.304,4.969,38.338,4.152,799.78,747.81
1019,2006,22.162,31.028,37.145,31.827,88.957,0.26,0.303,4.969,38.499,4.149,447.648,625.776
1019,2011,22.182,31.05,37.123,31.827,89.019,0.26,0.303,4.969,38.515,4.149,777.384,749.415
